gene	value	status
b1492	0.9219480951	optimal
b1493	0.9219480951	optimal
b1519	0.9219480951	optimal
b1521	0.9219480951	optimal
b1524	0.9219480951	optimal
b1584	0.9219480951	optimal
b1602	0.9219480951	optimal
b1603	0.9219480951	optimal
b1605	0.9219480951	optimal
b1611	0.9219480951	optimal
b1612	0.9219480951	optimal
b1613	0.9219480951	optimal
b1621	0.9219480951	optimal
b1622	0.9219480951	optimal
b1623	0.9219480951	optimal
b1636	0.9219480951	optimal
b1638	0.9219480951	optimal
b1646	0.9219480951	optimal
b1651	0.9219480951	optimal
b1656	0.9219480951	optimal
b1662	0.0	optimal
b1676	0.9219480951	optimal
b1692	0.9219480951	optimal
b1693	0.0	optimal
b1702	0.9219480951	optimal
b1704	0.9219480951	optimal
b1709	0.9219480951	optimal
b1711	0.9219480951	optimal
b1723	0.9219480951	optimal
b1732	0.9219480951	optimal
b1740	0.0	optimal
b1744	0.9219480951	optimal
b1745	0.9219480951	optimal
b1746	0.9219480951	optimal
b1747	0.9219480951	optimal
b1748	0.9219480951	optimal
b1761	0.8529802578	optimal
b1764	0.9219480951	optimal
b1767	0.9219480951	optimal
b1768	0.9219480951	optimal
b1773	0.9219480951	optimal
b1779	0.9219480951	optimal
b1801	0.9219480951	optimal
b1805	0.9219480951	optimal
b1812	0.0	optimal
b1814	0.9219480951	optimal
b1817	0.9219480951	optimal
b1818	0.9219480951	optimal
b1819	0.9219480951	optimal
b1849	0.9219480951	optimal
b1850	0.9219480951	optimal
b1851	0.9219480951	optimal
b1852	0.901492768	optimal
b1854	0.9219480951	optimal
b1855	0.0	optimal
b1865	0.9219480951	optimal
b1872	0.9219480951	optimal
b1873	0.9219480951	optimal
b1896	0.9219480951	optimal
b1897	0.9219480951	optimal
b1898	0.9219480951	optimal
b1899	0.9219480951	optimal
b1900	0.9219480951	optimal
b1901	0.9219480951	optimal
b1907	0.9219480951	optimal
b1912	0.0	optimal
b1982	0.9219480951	optimal
b1991	0.9219480951	optimal
b1992	0.9219480951	optimal
b1993	0.9219480951	optimal
b2019	0.0	optimal
b2020	0.0	optimal
b2021	0.0	optimal
b2022	0.0	optimal
b2023	0.0	optimal
b2024	0.0	optimal
b2025	0.0	optimal
b2026	0.0	optimal
b2028	0.9219480951	optimal
b2029	0.901492768	optimal
b2036	0.9219480951	optimal
b2038	0.9219480951	optimal
b2039	0.9219480951	optimal
b2040	0.9219480951	optimal
b2041	0.9219480951	optimal
b2042	0.9219480951	optimal
b2045	0.9219480951	optimal
b2048	0.9219480951	optimal
b2049	0.9219480951	optimal
b2052	0.9219480951	optimal
b2053	0.9219480951	optimal
b2065	0.9219480951	optimal
b2066	0.9219480951	optimal
b2091	0.9219480951	optimal
b2092	0.9219480951	optimal
b2093	0.9219480951	optimal
b2094	0.9219480951	optimal
b2095	0.9219480951	optimal
b2096	0.9219480951	optimal
b2097	0.9219480951	optimal
b2103	0.9219480951	optimal
b2104	0.9219480951	optimal
b2128	0.9219480951	optimal
b2129	0.9219480951	optimal
b2130	0.9219480951	optimal
b2131	0.9219480951	optimal
b2132	0.9219480951	optimal
b2133	0.9219480951	optimal
b2143	0.9219480951	optimal
b2148	0.9219480951	optimal
b2149	0.9219480951	optimal
b2150	0.9219480951	optimal
b2153	0.0	optimal
b2156	0.9219480951	optimal
b2167	0.9219480951	optimal
b2168	0.9219480951	optimal
b2169	0.9219480951	optimal
b2210	0.9219480951	optimal
b2221	0.9219480951	optimal
b2222	0.9219480951	optimal
b2223	0.9219480951	optimal
b2224	0.9219480951	optimal
b2232	0.9219480951	optimal
b2234	0.9219480951	optimal
b2235	0.9219480951	optimal
b2239	0.9219480951	optimal
b2240	0.9219480951	optimal
b2241	0.9219480951	optimal
b2242	0.9219480951	optimal
b2243	0.9219480951	optimal
b2260	0.9219480951	optimal
b2261	0.9219480951	optimal
b2262	0.9219480951	optimal
b2264	0.9219480951	optimal
b2265	0.9219480951	optimal
b2276	0.6606358593	optimal
b2277	0.6606358593	optimal
b2278	0.6606358593	optimal
b2279	0.6606358593	optimal
b2280	0.6606358593	optimal
b2281	0.6606358593	optimal
b2282	0.6606358593	optimal
b2283	0.6606358593	optimal
b2284	0.6606358593	optimal
b2285	0.6606358593	optimal
b2286	0.6606358593	optimal
b2287	0.6606358593	optimal
b2288	0.6606358593	optimal
b2296	0.9219480951	optimal
b2297	0.9219480951	optimal
b2306	0.9219480951	optimal
b2307	0.9219480951	optimal
b2308	0.9219480951	optimal
b2309	0.9219480951	optimal
b2310	0.9219480951	optimal
b2311	0.9219480951	optimal
b2312	0.0	optimal
b2315	0.0	optimal
b2316	0.0	optimal
b2320	0.9219480951	optimal
b2323	0.0	optimal
b2329	0.0	optimal
b2344	0.9219480951	optimal
b2366	0.9219480951	optimal
b2378	0.9219480951	optimal
b2388	0.9219480951	optimal
b2393	0.9219480951	optimal
b2400	0.9219480951	optimal
b2406	0.9219480951	optimal
b2407	0.9219480951	optimal
b2411	0.9219480951	optimal
b2413	0.9219480951	optimal
b2414	0.9219480951	optimal
b2415	0.8989725271	optimal
b2416	0.8989725271	optimal
b2417	0.9219480951	optimal
b2418	0.9219480951	optimal
b2421	0.9219480951	optimal
b2422	0.0	optimal
b2423	0.0	optimal
b2424	0.0	optimal
b2425	0.9219480951	optimal
b2429	0.9219480951	optimal
b2436	0.9219480951	optimal
b2440	0.9219480951	optimal
b2441	0.9219480951	optimal
b2458	0.9219480951	optimal
b2463	0.9219480951	optimal
b2464	0.9219480951	optimal
b2465	0.9219480951	optimal
b2472	0.0	optimal
b2476	0.0	optimal
b2478	0.0	optimal
b2492	0.9219480951	optimal
b2497	0.9219480951	optimal
b2498	0.9219480951	optimal
b2499	0.0	optimal
b2500	0.9195771554	optimal
b2507	0.0	optimal
b2508	0.0	optimal
b2515	0.9219480951	optimal
b2518	0.0	optimal
b2530	0.9219480951	optimal
b2533	0.9219480951	optimal
b2536	0.9219480951	optimal
b2538	0.9219480951	optimal
b2539	0.9219480951	optimal
b2540	0.9219480951	optimal
b2541	0.9219480951	optimal
b2542	0.9219480951	optimal
b2551	0.8894834976	optimal
b2557	0.0	optimal
b2563	0.9219480951	optimal
b2564	0.9219480951	optimal
b2574	0.0	optimal
b2585	0.0	optimal
b2587	0.9219480951	optimal
b2599	0.0	optimal
b2600	0.0	optimal
b2601	0.9219480951	optimal
b2615	0.0	optimal
b2661	0.9219480951	optimal
b2662	0.9219480951	optimal
b2663	0.9219480951	optimal
b2675	0.9219480951	optimal
b2676	0.9219480951	optimal
b2677	0.9219480951	optimal
b2678	0.9219480951	optimal
b2679	0.9219480951	optimal
b2687	0.9219480951	optimal
b2688	0.9219480951	optimal
b2690	0.9219480951	optimal
b2702	0.9219480951	optimal
b2703	0.9219480951	optimal
b2704	0.9219480951	optimal
b2705	0.9219480951	optimal
b2719	0.9219480951	optimal
b2720	0.9219480951	optimal
b2721	0.9219480951	optimal
b2722	0.9219480951	optimal
b2723	0.9219480951	optimal
b2724	0.9219480951	optimal
b2738	0.9219480951	optimal
b2746	0.9219480951	optimal
b2747	0.9219480951	optimal
b2750	0.0	optimal
b2751	0.0	optimal
b2752	0.0	optimal
b2762	0.0	optimal
b2763	0.0	optimal
b2764	0.0	optimal
b2779	0.7452932944	optimal
b2780	0.0	optimal
b2781	0.9219480951	optimal
b2787	0.9219480951	optimal
b2788	0.9219480951	optimal
b2789	0.9219480951	optimal
b2796	0.9219480951	optimal
b2797	0.9219480951	optimal
b2799	0.9219480951	optimal
b2800	0.9219480951	optimal
b2801	0.9219480951	optimal
b2802	0.9219480951	optimal
b2803	0.9219480951	optimal
b2818	0.0	optimal
b2827	0.0	optimal
b2836	0.9219480951	optimal
b2838	0.0	optimal
b2841	0.9219480951	optimal
b2874	0.9219480951	optimal
b2883	0.9219480951	optimal
b2889	0.9219480951	optimal
b2901	0.9219480951	optimal
b2903	0.9219480951	optimal
b2904	0.9219480951	optimal
b2905	0.9219480951	optimal
b2907	0.9219480951	optimal
b2913	0.0	optimal
b2914	0.9219480951	optimal
b2917	0.9219480951	optimal
b2919	0.9219480951	optimal
b2920	0.9219480951	optimal
b2925	0.9219480951	optimal
b2926	0.6250126845	optimal
b2927	0.9219480951	optimal
b2935	0.9219480951	optimal
b2937	0.9219480951	optimal
b2938	0.9219480951	optimal
b2942	0.0	optimal
b2943	0.9219480951	optimal
b2947	0.9219480951	optimal
b2957	0.9219480951	optimal
b2964	0.9219480951	optimal
b2965	0.9219480951	optimal
b2975	0.9219480951	optimal
b2976	0.9219480951	optimal
b2978	0.9209633917	optimal
b2979	0.9209633917	optimal
b2987	0.9219480951	optimal
b2988	0.9219480951	optimal
b2994	0.9219480951	optimal
b2997	0.9219480951	optimal
b3008	0.9219480951	optimal
b3012	0.9219480951	optimal
b3018	0.0	optimal
b3041	0.0	optimal
b3052	0.0	optimal
b3058	0.0	optimal
b3061	0.9219480951	optimal
b3062	0.9219480951	optimal
b3063	0.9219480951	optimal
b3073	0.9219480951	optimal
b3089	0.9219480951	optimal
b3091	0.9219480951	optimal
b3092	0.9219480951	optimal
b3093	0.9219480951	optimal
b3111	0.9219480951	optimal
b3112	0.9219480951	optimal
b3114	0.9219480951	optimal
b3115	0.9219480951	optimal
b3116	0.9219480951	optimal
b3117	0.9219480951	optimal
b3124	0.9219480951	optimal
b3125	0.9219480951	optimal
b3126	0.9219480951	optimal
b3127	0.9219480951	optimal
b3128	0.9219480951	optimal
b3132	0.9219480951	optimal
b3137	0.9219480951	optimal
b3161	0.9219480951	optimal
b3172	0.0	optimal
b3176	0.0	optimal
b3177	0.0	optimal
b3187	0.9219480951	optimal
b3189	0.0	optimal
b3212	0.9219480951	optimal
b3213	0.9219480951	optimal
b3222	0.9219480951	optimal
b3223	0.9219480951	optimal
b3224	0.9219480951	optimal
b3225	0.9219480951	optimal
b3236	0.8814605051	optimal
b3255	0.0	optimal
b3256	0.0	optimal
b3258	0.9219480951	optimal
b3281	0.9219480951	optimal
b3359	0.0	optimal
b3360	0.0	optimal
b3365	0.9219480951	optimal
b3366	0.9219480951	optimal
b3367	0.9219480951	optimal
b3368	0.9219480951	optimal
b3380	0.9219480951	optimal
b3385	0.9219480951	optimal
b3386	0.9219480951	optimal
b3389	0.0	optimal
b3390	0.9219480951	optimal
b3403	0.9219480951	optimal
b3409	0.9219480951	optimal
b3415	0.9219480951	optimal
b3416	0.9219480951	optimal
b3417	0.9219480951	optimal
b3425	0.9219480951	optimal
b3426	0.9219480951	optimal
b3428	0.9219480951	optimal
b3429	0.0	optimal
b3430	0.0	optimal
b3433	0.0	optimal
b3437	0.9219480951	optimal
b3450	0.9219480951	optimal
b3451	0.9219480951	optimal
b3452	0.9219480951	optimal
b3453	0.9219480951	optimal
b3454	0.9219480951	optimal
b3455	0.9219480951	optimal
b3456	0.9219480951	optimal
b3457	0.9219480951	optimal
b3458	0.9219480951	optimal
b3460	0.9219480951	optimal
b3493	0.9219480951	optimal
b3500	0.9219480951	optimal
b3517	0.9219480951	optimal
b3519	0.9219480951	optimal
b3526	0.9219480951	optimal
b3528	0.9219480951	optimal
b3551	0.9219480951	optimal
b3553	0.9219480951	optimal
b3564	0.9219480951	optimal
b3565	0.9219480951	optimal
b3566	0.9219480951	optimal
b3567	0.9219480951	optimal
b3568	0.9219480951	optimal
b3572	0.9219480951	optimal
b3575	0.9219480951	optimal
b3579	0.9219480951	optimal
b3581	0.9219480951	optimal
b3583	0.9219480951	optimal
b3588	0.9219480951	optimal
b3599	0.9219480951	optimal
b3600	0.9219480951	optimal
b3603	0.9219480951	optimal
b3605	0.9219480951	optimal
b3607	0.0	optimal
b3608	0.0	optimal
b3612	0.9219480951	optimal
b3616	0.9219480951	optimal
b3617	0.9219480951	optimal
b3619	0.0	optimal
b3620	0.0	optimal
b3621	0.0	optimal
b3622	0.0	optimal
b3626	0.0	optimal
b3627	0.0	optimal
b3631	0.0	optimal
b3633	0.0	optimal
b3634	0.0	optimal
b3640	0.9219480951	optimal
b3642	0.0	optimal
b3648	0.0	optimal
b3653	0.9219480951	optimal
b3654	0.9219480951	optimal
b3665	0.9219480951	optimal
b3666	0.9219480951	optimal
b3670	0.9219480951	optimal
b3671	0.9219480951	optimal
b3691	0.9219480951	optimal
b3692	0.9219480951	optimal
b3693	0.9219480951	optimal
b3708	0.9216662017	optimal
b3709	0.9219480951	optimal
b3725	0.9219480951	optimal
b3726	0.9219480951	optimal
b3727	0.9219480951	optimal
b3728	0.9219480951	optimal
b3729	0.0	optimal
b3730	0.0	optimal
b3731	0.3623585002	optimal
b3732	0.3623585002	optimal
b3733	0.3623585002	optimal
b3734	0.3623585002	optimal
b3735	0.3623585002	optimal
b3736	0.3623585002	optimal
b3737	0.3623585002	optimal
b3738	0.3623585002	optimal
b3739	0.3623585002	optimal
b3744	0.9209729624	optimal
b3748	0.9219480951	optimal
b3749	0.9219480951	optimal
b3750	0.9219480951	optimal
b3751	0.9219480951	optimal
b3752	0.9219480951	optimal
b3767	0.9219480951	optimal
b3768	0.9219480951	optimal
b3769	0.9219480951	optimal
b3770	0.0	optimal
b3771	0.0	optimal
b3772	0.9219480951	optimal
b3774	0.0	optimal
b3784	0.9219480951	optimal
b3786	0.9219480951	optimal
b3787	0.9219480951	optimal
b3788	0.9219480951	optimal
b3789	0.9219480951	optimal
b3790	0.9219480951	optimal
b3791	0.9219480951	optimal
b3793	0.9219480951	optimal
b3794	0.9219480951	optimal
b3803	0.9219480951	optimal
b3804	0.9219480951	optimal
b3805	0.9219480951	optimal
b3806	0.9219480951	optimal
b3809	0.0	optimal
b3821	0.9219480951	optimal
b3825	0.9219480951	optimal
b3829	0.9219480951	optimal
b3831	0.9219480951	optimal
b3833	0.9219480951	optimal
b3835	0.9219480951	optimal
b3843	0.9219480951	optimal
b3845	0.9219480951	optimal
b3846	0.9219480951	optimal
b3849	0.9219480951	optimal
b3850	0.9219480951	optimal
b3870	0.9219480951	optimal
b3892	0.9219480951	optimal
b3893	0.9219480951	optimal
b3894	0.9219480951	optimal
b3902	0.9219480951	optimal
b3903	0.9219480951	optimal
b3904	0.9219480951	optimal
b3907	0.9219480951	optimal
b3908	0.9219480951	optimal
b3909	0.9219480951	optimal
b3916	0.9219480951	optimal
b3917	0.9219480951	optimal
b3918	0.9219480951	optimal
b3919	0.8445864993	optimal
b3926	0.9219419088	optimal
b3927	0.9219480951	optimal
b3929	0.9219480951	optimal
b3930	0.9219480951	optimal
b3939	0.0	optimal
b3940	0.9219480951	optimal
b3941	0.0	optimal
b3942	0.9219480951	optimal
b3945	0.9219480951	optimal
b3946	0.9219480951	optimal
b3951	0.9219480951	optimal
b3952	0.9219480951	optimal
b3956	0.9191407168	optimal
b3957	0.0	optimal
b3958	0.0	optimal
b3959	0.0	optimal
b3960	0.0	optimal
b3962	0.9219480951	optimal
b3966	0.9219480951	optimal
b3967	0.0	optimal
b3972	0.0	optimal
b3974	0.0	optimal
b3990	0.9219480951	optimal
b3991	0.9219480951	optimal
b3992	0.9219480951	optimal
b3993	0.9219480951	optimal
b3994	0.9219480951	optimal
b3997	0.9219480951	optimal
b4005	0.0	optimal
b4006	0.0	optimal
b4013	0.0	optimal
b4014	0.9219480951	optimal
b4015	0.9219480951	optimal
b4019	0.9219480951	optimal
b4024	0.9219480951	optimal
b4025	0.9059834154	optimal
b4031	0.9219480951	optimal
b4032	0.9219480951	optimal
b4033	0.9219480951	optimal
b4034	0.9219480951	optimal
b4035	0.9219480951	optimal
b4036	0.9219480951	optimal
b4039	0.9219480951	optimal
b4040	0.9219480951	optimal
b4041	0.0	optimal
b4042	0.0	optimal
b4053	0.9219480951	optimal
b4054	0.9219480951	optimal
b4069	0.9219480951	optimal
